N,churn_rate,batch_index,fr_elapsed_ms,icc_elapsed_ms,speedup_ratio,efficiency_pct,n_affected,n_nodes,n_edges,n_batches_used,is_reduced_batch_count
10000,0.05,8,4196.662600006675,27891.960399982054,0.1504613709407595,-564.62241686853,9954,10000,26863,15,False
10000,0.05,9,5618.665799993323,31426.416600006636,0.1787879881918238,-459.3216916379681,9965,10000,27668,15,False
10000,0.05,10,4681.136700004572,28628.108800010523,0.1635154013388007,-511.563187205846,9973,10000,28497,15,False
10000,0.05,11,4963.72239998891,28026.626699982444,0.1771073791050287,-464.6292125451064,9970,10000,29351,15,False
10000,0.05,12,4378.915300010704,27574.42250000895,0.158803518006924,-529.7089715332368,9984,10000,30230,15,False
10000,0.05,13,4399.931699997978,27527.038900007028,0.1598403560942712,-525.6242318493189,9983,10000,31135,15,False
10000,0.05,14,4586.890400008997,27567.903799994383,0.1663851714401996,-501.01509728552287,9986,10000,32067,15,False
10000,0.1,0,3983.564699999988,27423.11410000548,0.1452630319617563,-588.4063939015616,9986,10000,22466,15,False
10000,0.1,1,4056.3391000032425,27990.523199987365,0.1449183022061221,-590.0439659979361,9988,10000,23812,15,False
10000,0.1,2,4137.459200021112,29249.964299990097,0.141451769225664,-606.9547489396595,9989,10000,25239,15,False
10000,0.1,3,4983.251199999359,27737.28430000483,0.1796589437560219,-456.6101965722378,9995,10000,26752,15,False
10000,0.1,4,4405.041200021515,27748.31549997907,0.1587498599698723,-529.9218154836678,9998,10000,28357,15,False
10000,0.1,5,4450.877399998717,27556.65380001301,0.1615173392350204,-519.1285745147901,9996,10000,30058,15,False
10000,0.1,6,4444.568700011587,28045.40070000803,0.1584776323060456,-531.0038744577155,9999,10000,31861,15,False
10000,0.1,7,4511.439900001278,27857.18240001006,0.1619488947309922,-517.4787433165666,10000,10000,33771,15,False
10000,0.1,8,4676.876800018363,28119.485699979123,0.1663215625605071,-501.2449526117241,10000,10000,35796,15,False
10000,0.1,9,4663.048299989896,28026.274500007275,0.1663813112223919,-501.0290414548784,10000,10000,37943,15,False
10000,0.1,10,4849.760099983541,30183.465399983103,0.1606760534523069,-522.3702776573534,9999,10000,40219,15,False
10000,0.1,11,4893.004799989285,37243.22979999124,0.1313797118635085,-661.1525294247167,10000,10000,42630,15,False
10000,0.1,12,5945.190099999309,29239.39450000762,0.2033280853335645,-391.8159723775867,10000,10000,45187,15,False
10000,0.1,13,5141.31050001015,28425.59820000315,0.1808690344469014,-452.88623785602977,10000,10000,47897,15,False
10000,0.1,14,5145.67490000627,28560.08710002061,0.1801701403075397,-455.0309270409953,10000,10000,50770,15,False
50000,0.01,0,146344.95680002146,571450.4135999887,0.2560938855185813,-290.4817945867916,36800,50000,101198,15,False
50000,0.01,1,140355.87070000474,573916.7775000096,0.2445578805195364,-308.901155781858,38022,50000,101803,15,False
50000,0.01,2,139767.17700000154,572306.1989999842,0.2442174787626324,-309.4711013587817,38203,50000,102413,15,False
50000,0.01,3,138754.50100001763,577446.449799987,0.2402898157016615,-316.1641212632905,38375,50000,103027,15,False
50000,0.01,4,153766.70139998896,564978.4201000002,0.2721638489710324,-267.42572673802624,37392,50000,103645,15,False
50000,0.01,5,148134.34370001778,570159.3766000005,0.2598121679299199,-284.89344358564983,37938,50000,104265,15,False
50000,0.01,6,140032.94419997837,583811.5267000103,0.2398598482484808,-316.91012785268595,37923,50000,104889,15,False
50000,0.01,7,148083.8400000066,572456.4873999916,0.2586813902181114,-286.57593387635416,38099,50000,105517,15,False
50000,0.01,8,144884.80200001504,574857.9783000168,0.2520358200967684,-296.7689987939226,38184,50000,106150,15,False
50000,0.01,9,139209.3004999915,587389.9571000075,0.2369963919493606,-321.9473519300122,39065,50000,106785,15,False
50000,0.01,10,144075.55989999673,584198.8638000039,0.2466207465088804,-305.4808908641396,38871,50000,107424,15,False
50000,0.01,11,143167.1366999799,593013.3281000017,0.2414231348875133,-314.2105107142825,39333,50000,108068,15,False
